pathway_size	DIS_genes	DIS_genes_add	rawp_score_max	rawp_wald_max	rawp_lr_max	rawp_score_sum2	rawp_wald_sum2	rawp_lr_sum	adjp_score_max	adjp_wald_max	adjp_lr_max	adjp_score_sum2	adjp_wald_sum2	adjp_lr_sum	pathway	address	genes
11	 466	SOD1	ANG VAPB ALS2 ERBB4	0	0.384596	0.4525135	0	0.341048	0.337243	0	1	1	0	1	1	GO_POSITIVE_REGULATION_OF_KINASE_ACTIVITY	http://www.broadinstitute.org/gsea/msigdb/cards/GO_POSITIVE_REGULATION_OF_KINASE_ACTIVITY	ABL1 LRP8 PSEN1 TGFB3 LPAR1 CDC6 MRE11A VAV3 TEK PTPN1 MAP4K3 HGF MAPRE3 ADRB2 KRAS MAP2K5 HTR2B NOX4 SLC27A1 NOD2 MAPK8IP3 MAS1 EPHA4 RALB MAP3K2 MAP3K11 FRS2 ITGB1BP1 RELN TRAF4 NTF3 MAP2K3 ITGA1 FZD4 PRKAA1 CCL19 C5AR1 KIT PDCD10 MIF MAP4K1 TGFA MAPKAPK5 SYK GCG PKN1 RIPK1 NRK KIAA1199 TLR9 CHRNA7 CALM2 WNT5A DIRAS1 AMBRA1 ZAK CXCR4 NEK10 CDK1 CYR61 HSPA5 MAPK3 ACVR2B ADCY4 BAD ADCY3 SRCIN1 DOK7 PDGFA GAB1 SPRY2 DVL3 ADCY8 RHOA RASSF2 FGF18 MAPK14 ADORA1 MAP2K6 CCNC GNG3 ERBB2 PRKAR2A DUSP19 CDKN1B BMP2 IQGAP3 MMD ADORA2B MST1R KIF14 CCNT1 DUSP12 RAP1A IRAK2 MAP3K7 IRAK1 SDC4 PRLR VANGL2 KITLG PRKAG2 MADD PDGFB TRAF2 PKD1 MUC20 UBA52 ACE CCL21 CARTPT TNFRSF11A PIBF1 KIAA1804 WNT3A FGF2 SIRT1 CCNY HSP90AB1 PROK2 MAP3K13 ANG PRKAR2B SPAG9 CLU HMGB1 PDPK1 CRKL C1QTNF2 PIH1D1 FGR RAPGEF2 ADRA2C ADCY9 MDFIC EFNA5 AVPI1 CARD14 CCNT2 DUSP5 CSPG4 PROK1 TNFAIP8L3 MAP3K5 ADCY7 CCDC88A TRAF7 PFKFB2 TGFBR2 GADD45A PARK7 TELO2 DAB1 ECT2 EMP2 DIRAS2 PIM1 FZD10 MARK2 IRS1 CCND2 NOD1 MOS TNIK CDK5R1 GHRL NRG3 EPGN FGFR1 PIK3R4 PTK2 MAP3K1 ADCYAP1 GADD45G CDK5R2 KIDINS220 TDGF1 VAV2 ATP2B4 PDE5A ADAM9 MAGED1 CIB1 LPAR3 ADCY6 FZD5 PRKACA FAM20A ZP4 VAPB INSR DDR2 LRRK2 MALT1 ERBB3 STOX1 LEP TAB1 MAP3K6 DRD4 PRKACG RAPGEF1 ADAM8 NBN ERN1 FGF10 LTF PDGFC PRKACB ADRA2A PFKFB1 CCND3 PDGFD THBS1 RIPK3 PARP16 DAB2IP PIK3CA SAA1 NELL1 BRAF DUSP6 ATG14 JAK2 PPP1R9A STRADB MAP2K2 ABI1 AKT1 ACSL1 FZD8 IKBKG ALS2 MAP3K9 MAP4K2 C12orf5 GHR CCNL2 PAK2 PPP2CA PKD2 CARD10 TOM1L1 LAMTOR2 TLR6 TLR3 UNC119 CCNH CD4 BAX RASGRP1 EGF CAB39 STK3 JTB S1PR2 TP73 DBNL LAT AXIN1 TRAF6 FGF13 PTPRC ADCY2 MT3 AZU1 TNF IGF2 WNT11 TNFRSF10B MAP3K4 LCP2 ADIPOQ LYN TAB3 PDE6G NRG1 GCN1L1 RPS27A TAOK3 PLCG1 PRKAG1 UBC ERBB4 PEA15 EDN3 PDGFRB SPDYA ITGB3 TIAM1 C5 PLA2G1B MAP3K10 CCNK ADCY1 PPP2R3C SHC2 FGD2 CHRNA3 HSPH1 FPR1 PRKCZ GAS6 NTRK1 MAPKAPK3 CD40 ILK TGFB2 MMD2 GRM1 PTPLAD1 COPS8 S100A12 INS PRKAR1B NEURL DUSP9 GPRC5B TXN BIRC7 ERP29 MAPK10 CALM1 PRKAR1A CCND1 RIPK2 CALCA MAPK11 CCL5 RAC1 VEGFA CCNL1 RPS3 MAP3K12 TPD52L1 EPO ZP3 PSRC1 TGFBR1 ANGPT4 DRD2 SHC1 IL1B TAOK2 KISS1R AFAP1L2 CALM3 NTRK3 SASH1 DSTYK CENPE EPHA8 GRM4 CDKN1A PTPN11 CDC25B GADD45B NKX3-1 DUSP7 PILRB EFNA1 MAP3K3 CDK5 TNFSF11 IQGAP1 ZFP91 DLG1 FLT3 MAP3K8 TLR4 EREG TGFB1 ALK ADRA2B HRAS PIK3CB ERCC6 NGF AGT ZEB2 GH1 ADNP UBB F2R RPLP1 UCN PIK3CG CD74 TAB2 HSPA2 EDN1 VLDLR DBF4B PIK3R5 CSK P2RX7 ADAM17 MUL1 MARCKS MAP2K1 CSF1 GREM1 DVL2 ZNF16 PDE6H NCKAP1L MAPK1 MAPKAPK2 DAXX EEF1A2 PAK1 ARHGEF5 STAP1 FGFR3 EZH2 RPTOR CAMKK1 STK11 ELANE TNFSF15 PLCE1 SLC11A1 RAF1 CCR7 CRK SNCA OSBPL8 MAP2K7 FBXW7 BMP4 CD40LG ARRB1 MDFI PDGFRA PSMD10 STK4 SRC FLT1 EIF2AK2 ANGPT1 BAK1 PTK2B PRKCD CAMK1 ZNF622 CHI3L1 ADCY5 SOD1 CDC42 TPX2 CLSPN LMO4 CSF1R CD81 PROX1 PINK1 PAK3 STRADA HTR2A FGF1 EGFR TNFRSF10A SNX9 FCER1A RAD50 GNAI2
12	  38	NA	NA	0.142425	0.20982	0.180293	0.1352275	0.168424	0.160396	1	1	1	1	1	1	GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_FACTOR_IMPORT_INTO_NUCLEUS	http://www.broadinstitute.org/gsea/msigdb/cards/GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_FACTOR_IMPORT_INTO_NUCLEUS	SUFU NFKBIL1 BMP7 TONSL PKD1 ZC3H12A IL10 FBXW11 NLRP3 NFKBIB TBC1D10C NOV MXI1 KEAP1 CREB3 NFKBIE G3BP2 PSMD10 C1QTNF3 MDFI THRA FAF1 PPM1A DYRK2 GSK3B NFKBIA PPM1B MAPK7 RAB23 AKAP1 PKD2 CCDC22 MTOR LITAF NF1 SRI CD36 CYLD
13	 151	NA	NA	0.4920285	0.469654	0.582532	0.415378	0.4064645	0.3855515	1	1	1	1	1	1	GO_POTASSIUM_ION_TRANSPORT	http://www.broadinstitute.org/gsea/msigdb/cards/GO_POTASSIUM_ION_TRANSPORT	SLC24A2 SLC12A1 KCNV1 KCNQ1 ATP1A1 KCNIP4 KCNN2 PKD2L1 KCNJ6 KCNE2 KCNS3 HCN2 KCNH1 KCNK3 SLC24A5 KCNN3 HTR3A KCNJ1 TMEM175 SLC12A2 ATP1A2 KCNIP3 SCN4A TMEM38B KCNJ4 KCNE1L KCNJ11 KCNC2 KCND1 ABCC9 TRPM5 KCNK10 KCNV2 REST KCNJ8 CNGB3 KCNA4 KCNH3 KCNK9 KCNK16 KCNMB3 ATP1B1 KCNK13 KCNK18 KCNF1 SLC12A4 SLC12A6 KCNJ5 KCNJ3 KCNE1 KCNJ9 KCNA7 ATP1B2 CNGA2 KCNE3 KCNQ3 CNGB1 KCNA10 KCNC4 GJA5 KCNJ10 KCNH2 KCNK1 KCNMA1 ATP4A KCNK2 CDKN1B KCNK5 MTMR6 SLC24A4 ATP12A KCNE4 CDK2 HCN4 HCN3 KCNMB1 KCNC1 CNGA3 KCNMB4 SLC9A7 ATP4B KCNH7 KCNK6 HCN1 SLC12A5 CNGA4 KCNJ2 AQP1 TSC1 KCNQ5 KCNB1 KCNB2 KCNH4 KCNJ15 KCND3 SLC12A7 KCNK7 KCNK15 TMEM38A SLC12A8 ATP1A4 KCNA5 KCNC3 CCT8L2 HPN KCNJ14 KCNAB2 KCNT2 KCNIP1 KCNQ2 CNGA1 KCNU1 KCNA3 KCNH6 KCNS2 KCNA6 KCNMB2 KCNG2 KCNK17 ABCC8 KCNG3 KCNIP2 FXYD2 KCNK12 KCNJ12 SLC9A8 KCNA2 KCNA1 SLC12A9 KCNG1 KCNH5 KCNJ16 KCNAB1 KCNH8 KCNG4 ATP1B3 PKD2 FXYD4 SLC24A3 NSF KCNQ4 KCND2 VPS4B ATP1A3 KCNAB3 KCNN4 P2RY12 KCNJ13 KCNT1 KCNS1 KCNK4
14	  27	NA	NA	0.765177	0.765177	0.765177	1	1	1	1	1	1	1	1	1	GO_REGULATION_OF_T_CELL_RECEPTOR_SIGNALING_PATHWAY	http://www.broadinstitute.org/gsea/msigdb/cards/GO_REGULATION_OF_T_CELL_RECEPTOR_SIGNALING_PATHWAY	ELF1 UBASH3A PTPN22 ADA EZR PRNP TRAT1 DUSP3 BCL10 PTPN6 CACNA1F CCR7 THY1 LCK CEACAM1 GBP1 KCNN4 CD300A PAWR PHPT1 PRKD2 MALT1 PTPN2 RC3H1 PTPRJ DUSP22 LGALS3
15	  11	NA	NA	0.4516515	0.4516515	0.4516515	1	1	1	1	1	1	1	1	1	GO_CARDIAC_MUSCLE_ADAPTATION	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CARDIAC_MUSCLE_ADAPTATION	HEY2 TCAP GATA6 KDM4A CAMTA2 MEF2C KLF15 PPP3CA HDAC4 NPPA INPP5F
16	 113	NA	NA	0.629061	0.6510445	0.761396	0.666653	0.759673	0.729508	1	1	1	1	1	1	GO_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION	http://www.broadinstitute.org/gsea/msigdb/cards/GO_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION	MARVELD3 BRCA2 MCC IFT52 TNMD PDCD10 PTPRM DLL4 SAV1 GHRL TGFB1 CDKN1C APOH EREG IFT172 NFIB GJA1 NKX2-8 EAF2 RAP1GAP CXCR3 SNAI2 SLURP1 ATP5A1 DLG1 GDF2 RB1 LIMS2 ATPIF1 NKX3-1 CD109 IFT122 GATA3 SERPINF1 GDF5 PTCH1 IFT74 CPB2 FGFR2 PTN IFT80 MTSS1 PEX2 PBLD XDH CAV1 CDC73 ETV4 WFDC1 SYNJ2BP TGFBR1 SCG2 RGN NF1 HRSP12 ACVRL1 VASH1 PAX6 SPARC AIMP1 KLF9 SOX9 IL26 PTPRK RUNX3 WDR77 ATF2 C1orf172 TGFB2 ENG SFRP1 DAB2IP INTU WNT10B THBS1 CDKN1B SFRP2 MED1 FBXW7 BMP4 CAV2 GPC3 MEN1 STAT1 MEF2C IFT57 CDK6 CDKN2B STK11 STRAP KRT4 KRIT1 NR2F2 ESR2 SULF1 AGER ATOH8 HPN TINF2 EFNB2 PHB2 PTEN CASK VDR SFN A4GNT WNT5A PPARD TGFBR3 APOE MAGED1 SOX2 ROBO1
17	  84	NA	NA	0.536084	0.551896	0.6160715	0.6175705	0.727841	0.698404	1	1	1	1	1	1	GO_MOVEMENT_IN_ENVIRONMENT_OF_OTHER_ORGANISM_INVOLVED_IN_SYMBIOTIC_INTERACTION	http://www.broadinstitute.org/gsea/msigdb/cards/GO_MOVEMENT_IN_ENVIRONMENT_OF_OTHER_ORGANISM_INVOLVED_IN_SYMBIOTIC_INTERACTION	SLC1A5 XPR1 CD80 RPSA CLEC5A CCR5 LAMP1 CR2 CD209 CTSB PPIA EPS15 ACE2 SCARB2 ITCH PVRL2 VAMP8 SELPLG CD4 CAV1 GYPA ITGA5 WWP2 ITGB6 CD86 ADRBK1 SLC20A2 SCARB1 MRC1 PVRL4 CD55 HYAL2 HLA-DRB1 CR1 ITGB7 F11R LAMP3 TFRC ITGB3 LDLR CLEC4M CDHR3 DAG1 CD46 SLC10A1 MOG HSPA1A SLAMF1 ZNF639 TNFRSF4 HAVCR1 UVRAG ITGB1 CXCR4 SERPINB3 EFNB2 DPP4 AXL ITGAV ITGB5 EFNB3 PVRL1 ICAM1 TNFRSF14 NPC1 SIVA1 NUP153 CXADR ANPEP CD81 HSPA1B HTR2A DYNLT1 GAS6 IDE CAV2 CLEC4G WWP1 KPNA3 CLDN1 VPS18 PVR ITGA2 TYRO3
18	  95	NA	NA	0.2716275	0.2559105	0.3188305	0.265045	0.273147	0.250815	1	1	1	1	1	1	GO_REGULATION_OF_PROTEIN_TARGETING_TO_MITOCHONDRION	http://www.broadinstitute.org/gsea/msigdb/cards/GO_REGULATION_OF_PROTEIN_TARGETING_TO_MITOCHONDRION	WDR46 CYB5R1 PARL ZBTB17 UBE2J2 PEMT NRG1 HHAT PSMD8 POLR3A PTPN5 HAX1 MICALL2 CTSK PLAGL2 LEPROT IL9R ACTL6A PARK2 LRRC46 NKAP GPR26 SREBF2 CDKN2A U2AF2 ZDHHC8 UGCG ATPIF1 C10orf129 CSNK2A2 SIRT4 MRGPRE GPHA2 UBE2D3 STARD7 MIS18A UBL5 RAC2 ZBED3 TDRD12 HPS4 DTWD2 NMUR1 OSCP1 TOMM7 U2AF1 RNF31 TSGA13 RPL28 ARIH2 UBE2L3 SLMO1 RUVBL1 PINK1 HNMT NBPF3 MYBPC1 BAP1 OR13C4 WBP11 PSMB7 DPCR1 SLC17A9 ABLIM3 RNASE2 USP36 BNIP3L CDKL2 FBXW7 SH3GLB1 SIAH3 BAG4 HUWE1 HSPA1L PDCD5 ATG13 SNIP1 FAM20B GSK3A KAT2A SAE1 ELMOD1 SREBF1 HTRA2 LRRK2 GLS2 EPT1 ITGAX FZD5 RHOU WDR75 HES1 NPEPPS KCNN3 UBL4B
19	  12	NA	NA	0.5467205	0.5467205	0.5467205	1	1	1	1	1	1	1	1	1	GO_APICAL_PROTEIN_LOCALIZATION	http://www.broadinstitute.org/gsea/msigdb/cards/GO_APICAL_PROTEIN_LOCALIZATION	MAL GOPC VANGL2 HCN1 CELSR1 RDX SHROOM2 SHROOM3 ARF4 DLG5 RAB14 NAPA
20	 109	NA	PFN1	0.5607425	0.425278	0.5778835	0.519463	0.4815005	0.478549	1	1	1	1	1	1	GO_REGULATION_OF_ESTABLISHMENT_OF_PLANAR_POLARITY	http://www.broadinstitute.org/gsea/msigdb/cards/GO_REGULATION_OF_ESTABLISHMENT_OF_PLANAR_POLARITY	PSMD13 GPC4 VANGL1 RHOA PSMF1 PSMC2 DVL3 PSMA1 RSPO3 CLTC TIAM1 PSMD12 PSMB9 UBC PSMD1 GPC6 FZD5 PRICKLE2 CELSR1 DVL2 CELSR3 RPS27A MED12 PSMA6 PSME4 SEC24B PSMB4 FZD3 PSMB8 WNT5A UBA52 PSMB7 RAC1 PSMC4 CTHRC1 PSMD9 DAAM1 PSMB5 VANGL2 PSMC3 CDC42 WNT9B PSMD11 PSMC1 PSMD5 PSMD10 SFRP1 AP2M1 FZD6 MLLT3 PSME1 PSMD7 PSMD2 DAB2 PSMD14 PSMB2 GPC3 SFRP2 PSMD3 PSMB6 DACT1 PSMB10 PSMA5 PSMA3 PSMD4 AP2B1 ZNRF3 ARHGEF19 PSMC5 PSME2 MKS1 WNT1 ARRB2 ANKRD6 PSMA4 ABL1 FZD7 PSMA2 PSME3 SMURF2 PSMA7 PFN1 PRICKLE1 CELSR2 PSMD6 UBB FZD2 PSMB1 PSMA8 ROR2 PSMD8 DVL1 SMURF1 WNT11 PSMB3 GRHL3 PSMB11 AP2A1 AP2S1 FZD4 NKD1 PSMC6 PTK7 MAGI2 ROR1 FZD1 PARD6A NPHP3 AP2A2
21	  34	NA	NA	0.3257005	0.1717595	0.1917315	0.293937	0.18011	0.1984015	1	1	1	1	1	1	GO_FOREBRAIN_NEURON_DEVELOPMENT	http://www.broadinstitute.org/gsea/msigdb/cards/GO_FOREBRAIN_NEURON_DEVELOPMENT	UQCRQ SLIT1 SLIT3 SLIT2 GNAQ RAC3 CNTN2 GBX2 SALL3 RAC1 FGFR1 FEZF2 LHX8 ATF5 ROBO2 PLXNA3 DRD2 DCX RAPGEF2 DCLK2 ROBO1 OGDH SLC4A10 LHX6 SOX1 DRD1 ATP7A WNT5A DISC1 FGF8 ARX NRP1 FGFR2 SEMA3A
22	  18	NA	NA	0.258258	0.3658975	0.3401425	0.30673	0.4092835	0.388878	1	1	1	1	1	1	GO_POSITIVE_REGULATION_OF_PROTEIN_MATURATION	http://www.broadinstitute.org/gsea/msigdb/cards/GO_POSITIVE_REGULATION_OF_PROTEIN_MATURATION	MFI2 CNTN2 MYH9 CCBE1 TFR2 PHB C3 HPN NKD2 GSN C19orf80 CLEC3B ASTL KLKB1 RHBDD1 C6 ADAM8 F12
23	  36	NA	ALS2 UNC13A	0.409161	0.395305	0.4039195	0.473413	0.476518	0.4704445	1	1	1	1	1	1	GO_NEUROMUSCULAR_JUNCTION_DEVELOPMENT	http://www.broadinstitute.org/gsea/msigdb/cards/GO_NEUROMUSCULAR_JUNCTION_DEVELOPMENT	LAMB2 RER1 CACNA2D2 ALS2 P2RX2 RAPSN CACNB3 ANK3 UTRN NEDD4 AFG3L2 LRP4 CHRNA1 PDZRN3 ZC4H2 APP FNTA CACNB1 NTRK2 LRRK2 ETV5 TNC ERBB2 DNAJA3 UNC13B NRD1 CACNB2 UNC13A COL4A5 MUSK DVL1 COLQ CACNG2 F2R CACNB4 COL4A1
24	  31	NA	NA	0.7964935	0.7964935	0.8875705	0.8875705	0.8875705	0.8875705	1	1	1	1	1	1	GO_MITOTIC_CYTOKINESIS	http://www.broadinstitute.org/gsea/msigdb/cards/GO_MITOTIC_CYTOKINESIS	ANLN CEP55 ANK3 KIF4B NUSAP1 ZNF365 CUL7 KIF4A SPTBN1 SNX18 STAMBP RASA1 CKAP2 SNX33 CNTROB PLK1 APC GTPBP8 STMN1 KIF20A BIN3 USP8 RACGAP1 SPAST SNX9 CHMP4B MYH10 RHOA BBS4 KIF23 MITD1
25	  37	NA	NA	0.773481	0.773481	0.8892775	0.8892775	0.8892775	0.8892775	1	1	1	1	1	1	GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS	http://www.broadinstitute.org/gsea/msigdb/cards/GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS	TMBIM6 GNB2L1 OPA1 YOD1 HYOU1 PTPN1 CREB3L1 WFS1 LRRK2 DERL3 DNAJC3 PPP1R15B HSPA1A UBE2J1 HERPUD1 ERLEC1 USP14 UBE2G2 USP25 PDX1 BFAR PARK7 SVIP PARK2 CREB3 MAGEA3 DERL2 NCK2 GRINA XBP1 UBAC2 SYVN1 TXNDC12 PPP1R15A OS9 NCK1 UBXN1
